ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
26,simple,16,Beach Body Lotion,1,0,visible,Bobbi Brown,"This lightweight body moisturizer contains a soothing and hydrating blend of Aloe Vera and Olive, Jojoba and Sunflower Oils.Â beachÂ Body LotionÂ helps reduce peeling and prolong the life of your tan.Â ",,,taxable,,1,,,0,0,,,,,1,,240,206,Uncategorized,,,,,,,,,,,,0
27,simple,17,Beach Body Oil,1,0,visible,Bobbi Brown,"A unique, moisturizing body oil that gives skin a sultry sheen as it scents withÂ beachÂ Fragrance.Â Contains four essential oils (Olive, Sesame, Avocado and Jojoba) and Vitamins E and C to soften and nourish skin.",,,taxable,,1,,,0,0,,,,,1,,164,53,Uncategorized,,,,,,,,,,,,0
28,simple,18,Beach Body Scrub,1,0,visible,Bobbi Brown,"Great for smoothing skin before hitting the beach â€” Bobbi's emollient body exfoliator is lightly scented withbeachÂ Fragrance.Â Contains Orange Peel and Pumice to gently, yet effectively, help remove rough surface skin. Shea Butter and nourishing essential oils infuse skin with moisture.Â beachÂ Body ScrubÂ leaves skin feeling soft, smooth and hydrated.",,,taxable,,1,,,0,0,,,,,1,,116,45,Uncategorized,,,,,,,,,,,,0
29,simple,19,Beach Shower Gel,1,0,visible,Bobbi Brown,This moisturizing body cleanser is specially formulated with Pacific Sea Kelp Extract to soften skin as it cleanses.beachÂ Shower GelÂ is lightly scented withÂ beachFragrance.Â ,,,taxable,,1,,,0,0,,,,,1,,153,224,Uncategorized,,,,,,,,,,,,0
30,simple,20,Blush,1,0,visible,Bobbi Brown,Silky formula glides on smoothly and offers a matte finish with long-lasting wear.,,,taxable,,1,,,0,0,,,,,1,,136,176,Uncategorized,,,,,,,,,,,,0
31,simple,21,Brightening Finishing Powder,1,0,visible,Bobbi Brown,"This all-over powder instantly illuminates and gives skin a healthy-looking glow. It's infused with a skin brightening blend of Mulberry, Grape and Scutellaria Extracts, as well as Sodium Hyaluronate to help keep skin fresh and smooth looking. Palette includes a mirror for perfect application.",,,taxable,,1,,,0,0,,,,,1,,170,107,Uncategorized,,,,,,,,,,,,0
32,simple,22,Brightening Lip Gloss,1,0,visible,Bobbi Brown,"Bobbi has sized up all her glosses to give you an extra dose of shine. This sheer, reflective formula wakes up your face and helps create the illusion of fuller lips, plus the new tapered applicator lets you apply it like a pro. Wear alone or on top of your favorite Bobbi Brown lipstick.",,,taxable,,1,,,0,0,,,,,1,,67,193,Uncategorized,,,,,,,,,,,,0
33,simple,23,Bronzer,1,0,visible,Bobbi Brown,"Our must-have Bronzer Brush now features luxuriously soft bristles and a more rounded brush head to provide smoother, more even application of bronzer. Perfect for use with our popular Illuminating Bronzing Powder and Bronzing Powder.",,,taxable,,1,,,0,0,,,,,1,,179,206,Uncategorized,,,,,,,,,,,,0
34,simple,24,Bronzing Powder,1,0,visible,Bobbi Brown,"This soft matte, silky-smooth bronzer instantly gives skin the look of a natural tan. Bobbi suggests using Bronzing Powder year round to get a sun-kissed look.",,,taxable,,1,,,0,0,,,,,1,,169,79,Uncategorized,,,,,,,,,,,,0
35,simple,25,Brush Cleaning Spray,1,0,visible,Bobbi Brown,This alcohol free spray formula is designed to clean brushes instantly between makeup applications. Quick drying and gentle enough to be used on both natural and synthetic brushes. Ideal for use between brush shampoos.,,,taxable,,1,,,0,0,,,,,1,,119,213,Uncategorized,,,,,,,,,,,,0
36,simple,26,Buffing Grains for Face,1,0,visible,Bobbi Brown,"A true skincare innovation. These luxurious grains can be mixed with any Bobbi Brown cleanser or water to create a fully customized, gentle exfoliator for the face. Comes in a glass bottle with pour top for easy use.",,,taxable,,1,,,0,0,,,,,1,,71,191,Uncategorized,,,,,,,,,,,,0
37,simple,27,Concealer,1,0,visible,Bobbi Brown,Shaped to reach into the tiniest corners and deposit the perfect amount ofÂ Creamy ConcealerÂ under eyes. The Concealer Brush can also be used to spot-applyÂ Face Touch Up Stick.,,,taxable,,1,,,0,0,,,,,1,,104,196,Uncategorized,,,,,,,,,,,,0
38,simple,28,Concealer Blending,1,0,visible,Bobbi Brown,"Designed to be used with our Creamy Concealer and Corrector, the Concealer Blending Brush lets you apply product and blend it at the same time. Ideal for covering areas like under-eye circles.",,,taxable,,1,,,0,0,,,,,1,,154,136,Uncategorized,,,,,,,,,,,,0
39,simple,29,Conditioning Brush Cleanser,1,0,visible,Bobbi Brown,Specifically designed to remove makeup and residue safely without damaging brushes. Take special care of your Bobbi Brown Brushes by cleaning regularly for longer lasting life.,,,taxable,,1,,,0,0,,,,,1,,170,30,Uncategorized,,,,,,,,,,,,0
40,simple,30,Cream Shadow,1,0,visible,Bobbi Brown,The Cream Shadow Brush is the ideal tool for applying Bobbi's award-winning Metallic Long-Wear Cream Shadow and Long-Wear Cream Shadow formulas. Features a brush head designed to pick up and perfectly apply this shadow.,,,taxable,,1,,,0,0,,,,,1,,231,112,Uncategorized,,,,,,,,,,,,0
41,simple,31,Creamy Lip Color,1,0,visible,Bobbi Brown,"Creamy Lip Color combines rich color with comfortable, long-lasting wear and a soft, creamy shine. With emollient shea butter and plant-derived skin conditioners, this amazing formula glides on smooth, wears all day, and leaves lips soft and moisturized.",,,taxable,,1,,,0,0,,,,,1,,197,41,Uncategorized,,,,,,,,,,,,0
42,simple,32,Creamy Matte Lip Color,1,0,visible,Bobbi Brown,"Bobbi's revolutionary new lipstick -Â Creamy Matte Lip ColorÂ combines the look of a classic matte lip with incredible wearability. Creamy and moisturizing, it glides on comfortably and feels light-as-air. Not to mention that it's got staying power, too (it won't budge for 8 hours).Â ",,,taxable,,1,,,0,0,,,,,1,,96,96,Uncategorized,,,,,,,,,,,,0
43,simple,33,Crystal Lip Gloss,1,0,visible,Bobbi Brown,"This clear, high-shine Lip Gloss is the easiest way to instantly enhance lips. Wear alone for a naturally luscious look or layer over your favorite Lip Color and Lip Liner for added brilliance. Comes in an easy-squeeze tube that makes it ideal for homeâ€”or on-the-go.",,,taxable,,1,,,0,0,,,,,1,,150,166,Uncategorized,,,,,,,,,,,,0
44,simple,34,Deluxe Size Hydrating Face Cream,1,0,visible,Bobbi Brown,Bobbi's Hydrating Face Cream now comes in a limited editionÂ 100 ml special value size. This rich yet lightweight formula instantly hydrates throughout the day. Skin is smooth and plumped; makeup stays fresh and glowing thanks to a long-lasting cushion of humectants and hydrating ingredients including algae extract.,,,taxable,,1,,,0,0,,,,,1,,205,193,Uncategorized,,,,,,,,,,,,0
45,simple,35,Everything Mascara,1,0,visible,Bobbi Brown,"An everyday essential for lashes. Bobbi Brown Everything Mascara has an innovative, all-in-one formula that lengthens, thickens, and defines - without smearing, smudging or clumping.Â ",,,taxable,,1,,,0,0,,,,,1,,197,162,Uncategorized,,,,,,,,,,,,0
46,simple,36,EXTRA Balm Rinse,1,0,visible,Bobbi Brown,"This conditioning cleanser removes all traces of makeup and impurities quickly and completely. Leaves skin with a smooth, cushiony finish, and feeling instantly refreshed. Use daily for dry skin, or as a nighttime treatment when skin needs more hydration.",,,taxable,,1,,,0,0,,,,,1,,220,152,Uncategorized,,,,,,,,,,,,0
47,simple,37,EXTRA Eye Repair Cream,1,0,visible,Bobbi Brown,"Do your eyes need something extra? Packed with peptides, natural plant oils and humectants that target fine lines, wrinkles, dark circles, puffiness and dryness, this rich, concentrated cream visibly revives eyes. Use morning and night - warm between fingers, then pat gently around eye area. Once cream is absorbed, follow with Corrector and Creamy Concealer.Â ",,,taxable,,1,,,0,0,,,,,1,,248,191,Uncategorized,,,,,,,,,,,,0
48,simple,38,EXTRA Face Oil,1,0,visible,Bobbi Brown,"This emollient facial oil provides a concentrated boost of intensive moisture to comfort very dry skin. The lightweight formula absorbs easily, immediately moisturizing, softening, and conditioning skin with an oil blend of Sesame, Sweet Almond, Olive and Jojoba.Â ",,,taxable,,1,,,0,0,,,,,1,,205,32,Uncategorized,,,,,,,,,,,,0
49,simple,39,EXTRA Repair Moisturizing Balm SPF 25,1,0,visible,Bobbi Brown,"Since sun damage is a key factor in skin aging, this is as an everyday essential for broad-spectrum sun protection. Formulated with the same powerful ingredients as Extra Repair Moisturizing Balm, this multi-tasker also offers anti-aging benefits. Argireline Â® Peptide helps to increase skin firmness, while Clary Sage Ferment boosts skin's ability to hold in moisture over time.",,,taxable,,1,,,0,0,,,,,1,,229,186,Uncategorized,,,,,,,,,,,,0
50,simple,40,EXTRA Repair Serum,1,0,visible,Bobbi Brown,"TLC for winter-weary complexions. NEWÂ EXTRA Repair SerumÂ is Bobbi's solution for dry or very dry skin. Luxurious and milky, this concentrated repair serum comforts skin as it firms and moisturizes. Anti-aging ingredients likeÂ Vitamin CÂ and a powerfulpeptideÂ help reduce the look of fine lines and wrinkles both instantly and over time.Â Meadowfoam Seed Oilhydrate whileÂ Wheat, Bran and Olive ExtractsÂ help your skin hold on to moisture.Â Clary Sage Extracthelps reveal a clearer, more radiant complexion. Layer underneath your favorite EXTRA moisturizer.",,,taxable,,1,,,0,0,,,,,1,,64,63,Uncategorized,,,,,,,,,,,,0
51,simple,41,EXTRA Soothing Balm,1,0,visible,Bobbi Brown,"A dense, concentrated balm with exotic plant extracts, such as Avocado, Geranium and Rosemary Oils, can be used anywhere extra hydration is needed--on lips, cuticles, even heels. EXTRA Soothing Balm can also be applied lightly over makeup to give cheeks that desired, healthy glow. A little goes a long way.",,,taxable,,1,,,0,0,,,,,1,,234,213,Uncategorized,,,,,,,,,,,,0
52,simple,42,Extreme Party Mascara,1,0,visible,Bobbi Brown,"Extreme Build. Endless Volume. Exceptional Separation. The formula stays flexible, so each coat goes on as fresh as the firstâ€”immediately or hours laterâ€”without clumping, smudging or flaking.",,,taxable,,1,,,0,0,,,,,1,,215,101,Uncategorized,,,,,,,,,,,,0
53,simple,43,Eye Blender,1,0,visible,Bobbi Brown,"Expertly blends all Eye Shadow shades together, softening any harsh lines or edges. The Eye Blender Brush can also be used to set concealer using powder from the Creamy Concealer Kit.",,,taxable,,1,,,0,0,,,,,1,,101,173,Uncategorized,,,,,,,,,,,,0
54,simple,44,Eye Brow,1,0,visible,Bobbi Brown,Angled brush head expertly shapes and defines natural-looking brows.,,,taxable,,1,,,0,0,,,,,1,,193,247,Uncategorized,,,,,,,,,,,,0
55,simple,45,Eye Definer,1,0,visible,Bobbi Brown,The Eye Definer Brush does double-duty: softly lining eyes and filling in and strengthening thin or sparse brows.,,,taxable,,1,,,0,0,,,,,1,,234,102,Uncategorized,,,,,,,,,,,,0
56,simple,46,Eye Liner,1,0,visible,Bobbi Brown,"For use with dark Eye Shadow shades, the Eye Liner Brush is perfectly shaped to create a precise and even line.",,,taxable,,1,,,0,0,,,,,1,,73,101,Uncategorized,,,,,,,,,,,,0
57,simple,47,Eye Makeup Remover,1,0,visible,Bobbi Brown,This soothing formula gently and thoroughly removes makeup from the delicate eye area without any oily residue. Aloe Vera calms and comforts this fragile skin; Rosewater Extract leaves it feeling clean and refreshed.Â ,,,taxable,,1,,,0,0,,,,,1,,224,240,Uncategorized,,,,,,,,,,,,0
58,simple,48,Eye Shadow,1,0,visible,Bobbi Brown,"This silky, matte powder shadow goes on smoothly & blends easily. The densely pigmented formula can be layered and comes in a range of beautiful shades for defining lids and lining eyes. (You can even use it to define your brows.) Comes in a sleek, flip-top compact that can be used individually or popped into an empty Palette (sold separately).",,,taxable,,1,,,0,0,,,,,1,,145,47,Uncategorized,,,,,,,,,,,,0
59,simple,49,Eye Smudge,1,0,visible,Bobbi Brown,"The tapered end of this brush is designed for smudging to create a modern, soft, smoky eye.",,,taxable,,1,,,0,0,,,,,1,,173,210,Uncategorized,,,,,,,,,,,,0
60,simple,50,Eyelash Curler,1,0,visible,Bobbi Brown,Curling your lashes is an instant eye opener. Bobbi's Eyelash Curler gives lashes a natural-looking curl and is designed for use on lashes before applying mascara. Crafted in black metal. Includes one replacement pad.,,,taxable,,1,,,0,0,,,,,1,,70,55,Uncategorized,,,,,,,,,,,,0
61,simple,51,Face,1,0,visible,Bobbi Brown,"This short handled brush with a big, fluffy head is ideal for touch-ups with Face Powder, Bronzing Powder, and Blush.",,,taxable,,1,,,0,0,,,,,1,,216,83,Uncategorized,,,,,,,,,,,,0
62,simple,52,Face Blender,1,0,visible,Bobbi Brown,"A great multi-purpose brush, ideal for dusting Shimmer Brick Compact on cheekbones for a natural-looking, shimmery glow. The Face Blender Brush can also be used with Sheer Finish Powder, Blush, or Bronzing Powder.",,,taxable,,1,,,0,0,,,,,1,,141,27,Uncategorized,,,,,,,,,,,,0
63,simple,53,Foundation,1,0,visible,Bobbi Brown,Achieve flawless foundation application with this brush. Creates a polished look with full coverage. Can be used with all our foundation formulas.,,,taxable,,1,,,0,0,,,,,1,,104,212,Uncategorized,,,,,,,,,,,,0
64,simple,54,Gentle Curl Eye Lash Curler,1,0,visible,Bobbi Brown,Make your lashes go the distance with Bobbi's Gentle Curl Eye Lash Curler. This curler possesses extra cushiony lash pads that gently grip even the smallest lashes for a picture perfect lifted effect.,,,taxable,,1,,,0,0,,,,,1,,239,69,Uncategorized,,,,,,,,,,,,0
65,simple,55,High Shimmer Lip Gloss,1,0,visible,Bobbi Brown,"Bobbi's new lip gloss combines gorgeous, light-catching shimmer with lasting, non-sticky shine. Made with fine pearls and clear pigments, High Shimmer Lip Gloss stays color-true and gives lips beautiful, brilliant dimension. Plus it's enriched with emollients and Vitamins C and E to moisturize, condition and protect lips, so they feel as good as they look. Whether you wear it on its own or on top of your favorite Lip Color, the new tapered applicator lets you apply it like a pro.",,,taxable,,1,,,0,0,,,,,1,,141,181,Uncategorized,,,,,,,,,,,,0
66,simple,56,Hydrating Eye Cream,1,0,visible,Bobbi Brown,"This quick-absorbing eye cream delivers naturally-occurring humectants that melt into the skin, leaving the eye area soft, smooth and refreshed for up to 24 hours. A perfect level of emollients imparts a lightweight texture, allowing concealer to glide on evenly - Aloe Vera and Witch Hazel Extract soothe and comfort; Jojoba Seed, Avocado Oil and Squalane condition and revive continuously.",,,taxable,,1,,,0,0,,,,,1,,189,193,Uncategorized,,,,,,,,,,,,0
67,simple,57,Hydrating Face Cream,1,0,visible,Bobbi Brown,"This rich yet lightweight formula instantly hydrates and steadily releases moisture, skin conditioners and nutrients throughout the day. Skin is smooth and plumped; makeup stays fresh and glowing thanks to a long-lasting cushion of humectants and hydrating ingredients - Algae Extract moisturizes and conditions skin; Caffeine soothes skin.",,,taxable,,1,,,0,0,,,,,1,,167,110,Uncategorized,,,,,,,,,,,,0
68,simple,58,Hydrating Face Tonic,1,0,visible,Bobbi Brown,"Applied immediately after cleansing, this skin-conditioning tonic begins to restore and balance skin, leaving it soft, soothed and perfectly prepared for the treatment products to follow. Cucumber, Chamomile, Licorice, Aloe Leaf and Lavender soothe and soften skin. Vitamin B5 softens and conditions so skin is prepared for the next treatment step.",,,taxable,,1,,,0,0,,,,,1,,230,54,Uncategorized,,,,,,,,,,,,0
69,simple,59,Hydrating Gel Cream,1,0,visible,Bobbi Brown,"This refreshing and lightweight water-based emulsion provides a burst of moisture, leaving skin refreshed, healthy and rejuvenated - and perfectly prepared for a seamless makeup application. Tropical Grass Extract hydrates instantly and increases the skin's natural ability to hold on to moisture. Vitamin E provides anti-oxidant protection against environmental damage.",,,taxable,,1,,,0,0,,,,,1,,204,166,Uncategorized,,,,,,,,,,,,0
70,simple,60,Hydrating Intense Night Cream,1,0,visible,Bobbi Brown,"A luxurious night cream that boosts skin's ability to recharge & rehydrate during its nightly repair process, plumping fine lines and improving tone and texture. Skin looks and feels stronger and healthier. White Birch Extract maintains elastin & promotes the natural repair of environmental damage. Shea Butter, Jojoba, Olive and Sweet Almond & Apricot Oils soften and comfort skin while you sleep. A Protein Activator helps promote natural collagen production. Rice Bran Extract & Apple Extract work to even skin tone. Green Tea & Vitamin E provide antioxidant protection.Â ",,,taxable,,1,,,0,0,,,,,1,,116,113,Uncategorized,,,,,,,,,,,,0
71,simple,61,Hydrating Rich Cream Cleanser,1,0,visible,Bobbi Brown,"Hydrating Rich Cream Cleanser is formulated with rich emollients and Enriched Mineral Water Blend to cleanse, purify and remove all traces of dirt and makeup without stripping skin of moisture. Avocado Butter and a natural blend of Jojoba, Avocado and Grape Seed Oils gives skin a cushiony, comfortable feel.",,,taxable,,1,,,0,0,,,,,1,,215,248,Uncategorized,,,,,,,,,,,,0
72,simple,62,Illuminating Bronzing Powder,1,0,visible,Bobbi Brown,This ultra-soft and smooth pressed powder is formulated with a unique and innovative blend of sheer powder and micro pearls. Powder glides on evenly and gives skin a seamless and sheer natural-looking glow.,,,taxable,,1,,,0,0,,,,,1,,229,192,Uncategorized,,,,,,,,,,,,0
73,simple,63,Ink Eyeliner,1,0,visible,Bobbi Brown,"Bobbi Brown Ink Eyeliner is a Eyeliner that retails for $24.00 and contains 0.03 oz. There are 1 shades that have been released, which you can select from below.",,,taxable,,1,,,0,0,,,,,1,,71,127,Uncategorized,,,,,,,,,,,,0
74,simple,64,Instant Long-Wear Makeup Remover,1,0,visible,Bobbi Brown,"This extra gentle waterproof makeup remover effectively removes long-wearing and waterproof eye and lip makeup, while conditioning lashes. Bobbi Brown Instant Long-Wear Makeup Remover leaves eyes and lips clean and pleasantly refreshed.",,,taxable,,1,,,0,0,,,,,1,,196,74,Uncategorized,,,,,,,,,,,,0
75,simple,65,Intensifying Long-Wear Mascara,1,0,visible,Bobbi Brown,"Our longest-lasting mascara not only delivers lush, thick lashes but can stand up to theÂ elements (and even a few tears) for up to 16 hours. For maximum volume and results, we've designed a new brush with unique bristles that easily reaches small lashes and instantly builds lashes without clumping.Â ",,,taxable,,1,,,0,0,,,,,1,,155,42,Uncategorized,,,,,,,,,,,,0
76,simple,66,Intensive Skin Supplement,1,0,visible,Bobbi Brown,"An advanced, multi-benefit serum that improves skin's appearance as it helps prevent the visible signs of aging. White Birch Extract reduces the look of fine, dry lines, while Grape Extract helps clarify and brighten the complexion. After just four weeks' use, skin looks firmer, smoother, more even-toned and radiant. Dermatologist-tested. Non-acnegenic.",,,taxable,,1,,,0,0,,,,,1,,192,116,Uncategorized,,,,,,,,,,,,0
77,simple,67,Lash Glamour Extreme Lengthening Mascara,1,0,visible,Bobbi Brown,"Bobbi's new gold standard for ultra-long, perfectly separated lashes. The secret? An upgraded good-for-your lashes formula working in perfect synergy with a unique brush. In just one sweep you get noticeably longer lashes & perfect separation. And because it's enriched with olive-derived emollients, Vitamin B and humectants, this long-wearing mascara conditions lashes while staying smudge & flake-free. You'll be lash obsessed.",,,taxable,,1,,,0,0,,,,,1,,131,88,Uncategorized,,,,,,,,,,,,0
78,simple,68,Lathering Tube Soap,1,0,visible,Bobbi Brown,"A unique soap formula with a rich, luxurious lathering action that lifts off makeup and dirt. A Coconut Extract derivative cleanses deeply, yet gently, while Apricot Oil hydrates and cushions skin for an incredibly clean, soft, and refreshed feeling.",,,taxable,,1,,,0,0,,,,,1,,231,110,Uncategorized,,,,,,,,,,,,0
79,simple,69,Lip Balm,1,0,visible,Bobbi Brown,"Yogi Bare Lip Balm inspired by Bobbi's friendship with baseball legend Yogi Berra. This clear lip balm comforts and moisturizes lips and offers the convenience of a swivel-up stick. A combination of Petrolatum, Candelilla Wax and Beeswax forms a barrier that holds moisture to the skin, while natural oils condition the skin to improve the look and feel of lips.",,,taxable,,1,,,0,0,,,,,1,,140,27,Uncategorized,,,,,,,,,,,,0
80,simple,70,Lip Color,1,0,visible,Bobbi Brown,"A rich, full-coverage lipstick with a semi-matte finish thatâ€™s enriched with vitamins C and E. The very first product Bobbi created, this classic semi-matte lipstick features a brown baseÂ—the secret behind the incredible wearability of all its shades. Whether you want a nude, bright or bold, every shade is instantly flattering, and the vitamin C and E and beeswax-infused formula moisturizes and comforts lips.",,,taxable,,1,,,0,0,,,,,1,,73,195,Uncategorized,,,,,,,,,,,,0
81,simple,71,Lip Gloss,1,0,visible,Bobbi Brown,"Bobbi has sized up all her glosses to give you an extra dose of shine. Lip Gloss is formulated with soothing botanical extracts - including Avocado, Jojoba and Chamomile Oils, and Aloe Extract - to keep lips soft and supple; plus the new tapered applicator lets you apply it like a pro. Scented with a hint of Vanilla.",,,taxable,,1,,,0,0,,,,,1,,169,105,Uncategorized,,,,,,,,,,,,0
82,simple,72,Lip Liner,1,0,visible,Bobbi Brown,"A naturally flattering way to define lips. Lip Liner is long-wearing and non-drying, applies smoothly and evenly, and helps reduce feathering. Each liner includes a sharpener.",,,taxable,,1,,,0,0,,,,,1,,179,86,Uncategorized,,,,,,,,,,,,0
83,simple,73,Long-Wear Cream Eyeshadow,1,0,visible,Bobbi Brown,Velvety-smooth formula that goes on easily - and lasts all day without creasing or smearing. Fragrance free. Safe for contact lens wearers. Ophthalmologist tested.,,,taxable,,1,,,0,0,,,,,1,,94,59,Uncategorized,,,,,,,,,,,,0
84,simple,74,Long-Wear Cream Shadow Stick,1,0,visible,Bobbi Brown,"Effortless and high impact-that's the essence of NEW Long-Wear Cream Shadow Stick. This do-it-all formula glides on tug-free and can be used to shade, define, smoke up and highlight eyes. In subtle to eye-popping shades that last for up to 8 hours without creasing, flaking or fading, it's a stroke of genius. Just swipe on and go.",,,taxable,,1,,,0,0,,,,,1,,156,240,Uncategorized,,,,,,,,,,,,0
85,simple,75,Long-Wear Eye Pencil,1,0,visible,Bobbi Brown,"The wait is over: for those who want the benefits of Bobbi's Long-Wear Gel Eyeliner in pencil form, here it is. This richly pigmented formula really goes the distance, staying put for 12 hours. Long-Wear Eye Pencil's densely pigmented formula glides on smoothly, for intense definition that lasts all day, so there's no need to worry about smudging or smearing. Apply in the morning and wear it into the night. Each pencil comes with a complimentary sharpener.",,,taxable,,1,,,0,0,,,,,1,,119,111,Uncategorized,,,,,,,,,,,,0
86,simple,76,Long-Wear Gel Eyeliner,1,0,visible,Bobbi Brown,"Long-wearing, water-resistant color glides on & let's you get it just right before it dries - then stays without a smear or crease.",,,taxable,,1,,,0,0,,,,,1,,207,98,Uncategorized,,,,,,,,,,,,0
87,simple,77,Metallic Eye Shadow,1,0,visible,Bobbi Brown,"Metallic Eye Shadow combines rich, high-pigment color with intense shimmer. Each shade applies smoothly and evenly, and stays crease-free for all-day wear.",,,taxable,,1,,,0,0,,,,,1,,140,29,Uncategorized,,,,,,,,,,,,0
